측정일자,측정시간,지역,지역명,도로명,시작점,종점,기온,습도,재비산먼지 평균농도,오염범례
2021-07-01,12:04,경기,용인시 수지구,상현로,,경기도 용인시 수지구 상현동 79-6,30,75,4,매우좋음
2021-07-01,12:17,경기,용인시 수지구,만현로,,경기도 용인시 수지구 풍덕천동 1125-1,30,71,11,매우좋음
2021-07-01,12:21,경기,용인시 수지구,정평로,,경기도 용인시 수지구 풍덕천동 781,30,71,6,매우좋음
2021-07-01,12:44,경기,용인시 수지구,수풍로,,경기도 용인시 수지구 동천동 890,31,68,6,매우좋음
2021-07-01,13:01,경기,용인시 수지구,동천로,,경기도 용인시 수지구 동천동 957,30,69,25,매우좋음
2021-07-01,13:10,경기,용인시 수지구,손곡로,,경기도 용인시 수지구 동천동 857-6,30,70,46,매우좋음
2021-07-01,13:20,경기,용인시 수지구,풍덕천로,,경기도 용인시 수지구 풍덕천동 1045,31,66,11,매우좋음
2021-07-01,13:30,경기,용인시 수지구,신봉1로,,경기도 용인시 수지구 신봉동 1004,30,75,11,매우좋음
2021-07-01,13:38,경기,용인시 수지구,도마치로,,경기도 용인시 수지구 성복동 520,30,71,23,매우좋음
2021-07-01,13:43,경기,용인시 수지구,성복2로,,경기도 용인시 수지구 성복동 74-9,30,72,16,매우좋음
2021-07-01,13:49,경기,용인시 수지구,성복1로,,경기도 용인시 수지구 성복동 564,31,68,15,매우좋음
2021-07-02,9:34,경기,파주시,숲속노을로,,경기도 파주시 문발동 621,26,70,120,보통
2021-07-02,9:49,경기,파주시,청석로,,경기도 파주시 동패동 1344-1,,72,29,매우좋음
2021-07-02,10:11,경기,파주시,파주로,,경기도 파주시 당하동 106-2,27,65,56,좋음
2021-07-02,10:25,경기,파주시,경의로,,경기도 파주시 야당동 산 170-3,28,61,24,매우좋음
2021-07-02,10:48,경기,파주시,미래로,,경기도 파주시 와동동 1305,28,59,36,매우좋음
2021-07-02,10:58,경기,파주시,가람로,,경기도 파주시 와동동 1524,28,59,71,좋음
2021-07-02,11:03,경기,파주시,가람로116번길,,경기도 파주시 와동동 1486,28,58,43,매우좋음
2021-07-02,11:06,경기,파주시,책향기로,,경기도 파주시 동패동 1745-9,28,57,52,좋음
2021-07-02,11:36,경기,파주시,심학산로,,경기도 파주시 와동동 1403,29,55,17,매우좋음
2021-07-02,11:48,경기,파주시,와석순환로,,경기도 파주시 야당동 1020,29,53,20,매우좋음
2021-07-02,12:59,경기,파주시,금릉역로,,경기도 파주시 금촌동 492-3,31,49,33,매우좋음
2021-07-02,13:08,경기,파주시,중앙로,,경기도 파주시 조리읍 등원리 500-2,31,49,8,매우좋음
2021-07-02,13:31,경기,파주시,학령로,,경기도 파주시 금릉동 181-4,31,49,5,매우좋음
2021-07-02,13:35,경기,파주시,가나무로,,경기도 파주시 금촌동 978-12,31,49,8,매우좋음
2021-07-02,13:43,경기,파주시,쇠재로,,경기도 파주시 금촌동 978-26,31,49,12,매우좋음
2021-07-02,13:50,경기,파주시,시청로,,,32,48,14,매우좋음
2021-07-02,14:14,경기,파주시,새꽃로,,경기도 파주시 월롱면 영태리 505-24,32,48,13,매우좋음
2021-07-02,10:11,경기,하남시,미사대로,,경기도 하남시 망월동 326-51,26,91,20,매우좋음
,,,,,,경기도 하남시 망월동 939,26,86,47,매우좋음
2021-07-02,10:46,경기,하남시,아리수로,,경기도 하남시 망월동 1039,27,83,30,매우좋음
